geracao,Pen_8_fit,Pen_16_fit,Pen_32_fit,Rep_8_fit,Rep_16_fit,Rep_32_fit
1,161,161,166,142,148,160
2,161,161,166,149,148,161
3,168,161,166,151,148,161
4,168,161,166,157,148,161
5,168,161,166,157,148,175
6,168,161,177,157,159,178
7,168,163,177,157,159,180
8,168,163,177,162,169,187
9,168,163,177,162,169,187
10,168,163,177,171,169,189
11,168,165,180,171,170,189
12,168,165,180,171,170,189
13,168,165,180,172,170,192
14,168,176,180,191,179,192
15,171,176,180,191,190,192
16,171,177,180,191,190,192
17,171,177,181,191,190,197
18,177,177,191,191,190,197
19,177,177,191,191,196,197
20,182,177,191,191,196,197
21,188,177,191,191,196,197
22,188,177,191,191,196,197
23,188,177,191,191,196,197
24,188,177,191,191,196,197
25,190,177,191,192,196,197
26,190,183,191,192,196,197
27,190,183,196,192,196,200
28,190,183,196,195,196,200
29,190,183,196,195,199,201
30,190,183,196,195,199,201
31,190,183,197,195,199,201
32,190,183,197,195,201,201
33,190,185,197,195,201,201
34,190,185,197,195,201,201
35,190,185,198,195,201,201
36,190,185,198,195,202,201
37,190,185,198,196,202,201
38,190,185,199,196,202,201
39,190,186,199,198,202,201
40,190,190,205,198,202,201
41,190,194,205,198,202,201
42,190,194,205,198,202,201
43,190,194,205,198,202,201
44,190,194,205,198,202,206
45,190,194,205,198,202,206
46,191,194,205,198,202,206
47,191,194,205,198,202,206
48,191,194,205,198,202,206
49,191,194,205,198,202,206
50,191,194,205,198,202,206
51,191,194,205,198,202,206
52,191,194,205,198,202,206
53,191,194,205,198,202,206
54,191,194,205,198,202,206
55,191,197,205,198,202,206
56,191,197,205,198,202,206
57,191,197,205,198,203,206
58,191,197,205,198,203,206
59,191,197,205,198,203,206
60,191,197,205,198,203,206
61,191,200,205,198,203,206
62,191,200,205,198,203,206
63,191,200,205,198,203,206
64,191,200,205,198,203,206
65,191,200,205,198,203,206
66,191,200,205,198,203,206
67,191,200,206,198,203,206
68,191,200,206,198,205,206
69,191,203,206,198,205,206
70,191,203,206,198,205,206
71,191,203,206,198,205,206
72,191,203,206,198,205,206
73,191,203,206,198,205,206
74,191,203,206,198,205,206
75,192,203,206,198,205,206
76,192,203,206,198,205,206
77,192,203,206,198,205,206
78,192,203,206,198,205,206
79,192,203,206,198,205,206
80,192,203,206,198,205,206
81,193,203,206,198,205,206
